DISTRICT_NAME,HOSP_NAME,CATEGORY_NAME,SEX,Mortality
Anantapur,ABHAYA KIDNEY CARE MULITYSPECIALITY HOSPITAL,GENERAL SURGERY,Male,0.0
Anantapur,S.V.R.R.Hospital,PULMONOLOGY,Female,0.0
Anantapur,S.V.R.R.Hospital,POLY TRAUMA,Male,0.0
Anantapur,S.V.R.R.Hospital,POLY TRAUMA,Female,100.0
Anantapur,S.V.R.R.Hospital,PLASTIC SURGERY,Female(Child),0.0
Anantapur,S.V.R.R.Hospital,PLASTIC SURGERY,Female,0.0
Anantapur,S.V.R.R.Hospital,PEDIATRICS,Male(Child),100.0
Anantapur,S.V.R.R.Hospital,PEDIATRICS,Female(Child),0.0
Anantapur,S.V.R.R.Hospital,PEDIATRIC SURGERIES,Male(Child),100.0
Anantapur,S.V.R.R.Hospital,ORTHOPEDIC  SURGERY AND PROCEDURES,Male,0.0
Anantapur,S.V.R.R.Hospital,ORTHOPEDIC  SURGERY AND PROCEDURES,Female,0.0
Anantapur,S.V.R.R.Hospital,OPHTHALMOLOGY  SURGERY,Female,0.0
Anantapur,S.V.R.R.Hospital,NEUROSURGERY,Male,0.0
Anantapur,S.V.R.R.Hospital,NEUROSURGERY,Female(Child),0.0
Anantapur,S.V.R.R.Hospital,NEUROSURGERY,Female,0.0
Anantapur,S.V.R.R.Hospital,NEUROLOGY,Male,0.0
Anantapur,S.V.R.R.Hospital,NEUROLOGY,Female,0.0
Anantapur,S.V.R.R.Hospital,NEPHROLOGY,Male,0.0
Anantapur,Russh Hospitals Pvt Ltd,GENITO URINARY SURGERIES,Male,0.0
Anantapur,Russh Hospitals Pvt Ltd,ORTHOPEDIC  SURGERY AND PROCEDURES,Male,0.0
Anantapur,S V Hopsital,GENERAL SURGERY,Male,0.0
Anantapur,S V Hopsital,GENITO URINARY SURGERIES,Female,0.0
Anantapur,S V Hopsital,GENITO URINARY SURGERIES,Male,0.0
Anantapur,S V Hopsital,ORTHOPEDIC  SURGERY AND PROCEDURES,Male,0.0
Anantapur,S.V.R.R.Hospital,PULMONOLOGY,Male,0.0
Anantapur,S V Hopsital,POLY TRAUMA,Female,0.0
Anantapur,S.V.R.R.Hospital,ENT  SURGERY,Male,0.0
Anantapur,S.V.R.R.Hospital,GASTROENTEROLOGY,Male,0.0
Anantapur,S.V.R.R.Hospital,GENERAL SURGERY,Female,0.0
Anantapur,S.V.R.R.Hospital,GENERAL SURGERY,Male,0.0
Anantapur,S.V.R.R.Hospital,GENITO URINARY SURGERIES,Male,0.0
Anantapur,S.V.R.R.Hospital,NEPHROLOGY,Female,0.0
Anantapur,S.V.R.R.Hospital,ENT  SURGERY,Female,0.0
Anantapur,S.V.R.R.Hospital,SURGICAL ONCOLOGY,Female,0.0
Anantapur,S.V.R.R.Hospital,SURGICAL ONCOLOGY,Male,0.0
Anantapur,SENTINI HOSPITALS PRIVATE LIMITED,CARDIAC AND CARDIOTHORACIC SURGERY,Male,0.0
Anantapur,SRI MARUTHI SPECALITY HOSPITALS,POLY TRAUMA,Female,0.0
Anantapur,SRI SAI SATYA HOSPITAL,ORTHOPEDIC  SURGERY AND PROCEDURES,Female,0.0
Anantapur,SRI SRI HOLISTIC HOSPITAL A UNIT OF SREE RAMCHANDRA HEALTH SERVICES PRIVATE LIMITED,CARDIOLOGY,Female,0.0
Anantapur,SRI SRI HOLISTIC HOSPITAL A UNIT OF SREE RAMCHANDRA HEALTH SERVICES PRIVATE LIMITED,CARDIOLOGY,Male,0.0
Anantapur,SRI VIJAYA DURGA CARDIAC CENTRE,CARDIAC AND CARDIOTHORACIC SURGERY,Female,50.0
Anantapur,SRI VIJAYA DURGA CARDIAC CENTRE,CARDIAC AND CARDIOTHORACIC SURGERY,Male,100.0
Anantapur,SRI MARUTHI SPECALITY HOSPITALS,ORTHOPEDIC  SURGERY AND PROCEDURES,Male,0.0
Anantapur,SRI VIJAYA DURGA CARDIAC CENTRE,CARDIOLOGY,Female,0.0
Anantapur,SUNSHINE HEART INSTITUTE,CARDIAC AND CARDIOTHORACIC SURGERY,Female,0.0
Anantapur,SUNSHINE HEART INSTITUTE,CARDIAC AND CARDIOTHORACIC SURGERY,Female(Child),50.0
Anantapur,SUNSHINE HEART INSTITUTE,CARDIAC AND CARDIOTHORACIC SURGERY,Male,100.0
Anantapur,SUNSHINE HEART INSTITUTE,CARDIAC AND CARDIOTHORACIC SURGERY,Male(Child),0.0
Anantapur,SUNSHINE HEART INSTITUTE,CARDIOLOGY,Female,0.0
Anantapur,SURYA GLOBAL MULTI SPECIALITY HOSPITALS AND CANCER RESEARCH CENTRE,SURGICAL ONCOLOGY,Female,0.0
Anantapur,SRI VIJAYA DURGA CARDIAC CENTRE,CARDIOLOGY,Male,100.0
Anantapur,Russh Hospitals Pvt Ltd,GENITO URINARY SURGERIES,Female,0.0
